name,family,V,E,F,euler,face_histogram,reliability,diagnostic_status,closed_manifold,convexity,decomposition_modes,component_count,topological_entities,note
Tetraedro,Platônicos,4,6,4,2,"{""3"": 4}",métrico-exato,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,14,Modelo catalogado com coordenadas explícitas ou operação clássica suficientemente estável para visualização métrica didática.
Cubo,Platônicos,8,12,6,2,"{""4"": 6}",métrico-exato,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,26,Modelo catalogado com coordenadas explícitas ou operação clássica suficientemente estável para visualização métrica didática.
Octaedro,Platônicos,6,12,8,2,"{""3"": 8}",métrico-exato,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,26,Modelo catalogado com coordenadas explícitas ou operação clássica suficientemente estável para visualização métrica didática.
Icosaedro,Platônicos,12,30,20,2,"{""3"": 20}",métrico-exato,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,62,Modelo catalogado com coordenadas explícitas ou operação clássica suficientemente estável para visualização métrica didática.
Dodecaedro,Platônicos,20,30,12,2,"{""5"": 12}",métrico-exato,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,62,Modelo catalogado com coordenadas explícitas ou operação clássica suficientemente estável para visualização métrica didática.
Prisma triangular,Prismas,6,9,5,2,"{""3"": 2, ""4"": 3}",paramétrico-estável,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,20,"Família paramétrica construída por fórmula; adequada para explosão, métricas e comparação topológica."
Prisma pentagonal,Prismas,10,15,7,2,"{""4"": 5, ""5"": 2}",paramétrico-estável,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,32,"Família paramétrica construída por fórmula; adequada para explosão, métricas e comparação topológica."
Antiprisma 3-gonal,Antiprismas,6,12,8,2,"{""3"": 8}",paramétrico-estável,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,26,"Família paramétrica construída por fórmula; adequada para explosão, métricas e comparação topológica."
Antiprisma 4-gonal,Antiprismas,8,16,10,2,"{""3"": 8, ""4"": 2}",paramétrico-estável,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,34,"Família paramétrica construída por fórmula; adequada para explosão, métricas e comparação topológica."
Antiprisma 5-gonal,Antiprismas,10,20,12,2,"{""3"": 10, ""5"": 2}",paramétrico-estável,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,42,"Família paramétrica construída por fórmula; adequada para explosão, métricas e comparação topológica."
Antiprisma 6-gonal,Antiprismas,12,24,14,2,"{""3"": 12, ""6"": 2}",paramétrico-estável,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,50,"Família paramétrica construída por fórmula; adequada para explosão, métricas e comparação topológica."
Antiprisma 8-gonal,Antiprismas,16,32,18,2,"{""3"": 16, ""8"": 2}",paramétrico-estável,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,66,"Família paramétrica construída por fórmula; adequada para explosão, métricas e comparação topológica."
Pirâmide triangular,Pirâmides,4,6,4,2,"{""3"": 4}",paramétrico-estável,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,14,"Família paramétrica construída por fórmula; adequada para explosão, métricas e comparação topológica."
Pirâmide quadrada,Pirâmides,5,8,5,2,"{""3"": 4, ""4"": 1}",paramétrico-estável,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,18,"Família paramétrica construída por fórmula; adequada para explosão, métricas e comparação topológica."
Pirâmide pentagonal,Pirâmides,6,10,6,2,"{""3"": 5, ""5"": 1}",paramétrico-estável,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,22,"Família paramétrica construída por fórmula; adequada para explosão, métricas e comparação topológica."
Pirâmide hexagonal,Pirâmides,7,12,7,2,"{""3"": 6, ""6"": 1}",paramétrico-estável,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,26,"Família paramétrica construída por fórmula; adequada para explosão, métricas e comparação topológica."
Bipirâmide 3-gonal,Bipirâmides,5,9,6,2,"{""3"": 6}",paramétrico-estável,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,20,"Família paramétrica construída por fórmula; adequada para explosão, métricas e comparação topológica."
Bipirâmide 4-gonal,Bipirâmides,6,12,8,2,"{""3"": 8}",paramétrico-estável,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,26,"Família paramétrica construída por fórmula; adequada para explosão, métricas e comparação topológica."
Bipirâmide 5-gonal,Bipirâmides,7,15,10,2,"{""3"": 10}",paramétrico-estável,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,32,"Família paramétrica construída por fórmula; adequada para explosão, métricas e comparação topológica."
Bipirâmide 6-gonal,Bipirâmides,8,18,12,2,"{""3"": 12}",paramétrico-estável,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,38,"Família paramétrica construída por fórmula; adequada para explosão, métricas e comparação topológica."
